"","Model","AIC"
"1","Null",353.243054359198
"2","cube_Median_AI_mod",314.947214416048
"3","cube_Median_NOSC",302.8882011664
"4","cube_Median_DBE",308.314516043674
"5","cube_Median_delGcoxPerCmol",308.369823361992
"6","cube_Median_delGcoxPerCompmol",325.373927333059
"7","cube_Median_Lambda",326.96191784043
"8","cube_Median_Extractable_NPOC_mg_per_kg",316.837157241339
"9","Null_cube",353.243054359198
"10","cube_Median_AI_mod",306.015906997092
"11","cube_Median_NOSC",292.53856925256
"12","cube_Median_DBE",296.656940036161
"13","cube_Median_delGcoxPerCmol",278.583744942992
"14","cube_Median_delGcoxPerCompmol",302.901806497468
"15","cube_Median_Lambda",311.085010846791
"16","cube_Median_Extractable_NPOC_mg_per_kg",291.174549319471
