Parent_ID,Name
EC_005,D16 - Pacific Northwest
EC_009,D17 - Pacific Southwest
EC_011,D01 - Northeast
EC_012,D01 - Northeast
EC_013,D05 - Great Lakes
EC_014,D02 - Mid Atlantic
EC_017,D12 - Northern Rockies
EC_018,D10 - Central Plains
EC_021,D14 - Desert Southwest
EC_022,D16 - Pacific Northwest
EC_023,D16 - Pacific Northwest
EC_024,D02 - Mid Atlantic
EC_027,D03 - Southeast
EC_032,D09 - Northern Plains
EC_033,D14 - Desert Southwest
EC_034,D05 - Great Lakes
EC_035,D06 - Prairie Peninsula
EC_037,D01 - Northeast
EC_038,D01 - Northeast
EC_039,D11 - Southern Plains
EC_040,D03 - Southeast
EC_041,D07 - Appalachians & Cumberland Plateau
EC_042,D07 - Appalachians & Cumberland Plateau
EC_044,D01 - Northeast
EC_051,D16 - Pacific Northwest
EC_052,D16 - Pacific Northwest
EC_053,D16 - Pacific Northwest
EC_056,D08 - Ozarks Complex
EC_057,D08 - Ozarks Complex
EC_063,D01 - Northeast
EC_064,D08 - Ozarks Complex
EC_065,D08 - Ozarks Complex
EC_066,D01 - Northeast
EC_068,D03 - Southeast
EC_069,D15 - Great Basin
EC_070,D01 - Northeast
EC_071,D06 - Prairie Peninsula
EC_072,D11 - Southern Plains
EC_073,D01 - Northeast
EC_074,D15 - Great Basin
EC_075,D03 - Southeast
EC_076,D06 - Prairie Peninsula
EC_078,D02 - Mid Atlantic
EC_080,D03 - Southeast
EC_081,D03 - Southeast
EC_082,D03 - Southeast
EC_084,D13 - Southern Rockies & Colorado Plateau
EC_085,D02 - Mid Atlantic
EC_088,D16 - Pacific Northwest
EC_089,D14 - Desert Southwest
EC_090,D17 - Pacific Southwest
EC_091,D03 - Southeast
EC_092,D03 - Southeast
EC_093,D05 - Great Lakes
EC_094,D01 - Northeast
EC_095,D07 - Appalachians & Cumberland Plateau
